iter	Logloss
0	0.6493892213
1	0.6117539473
2	0.5793517542
3	0.5481688404
4	0.5237520427
5	0.4990230628
6	0.4766254648
7	0.4572744165
8	0.4417569492
9	0.4260179158
10	0.4119246209
11	0.3994869937
12	0.3886175279
13	0.3780193106
14	0.3692336577
15	0.3592535104
16	0.3497085337
17	0.343559963
18	0.3365312908
19	0.3288799775
20	0.3233244669
21	0.3182226173
22	0.3133452002
23	0.3082140225
24	0.3036232346
25	0.2999389911
26	0.2951530986
27	0.2910128149
28	0.2872889866
29	0.2841947496
30	0.2817721803
31	0.2793878376
32	0.2766210698
33	0.2741706806
34	0.2724555609
35	0.2694322786
36	0.2666926469
37	0.2643894128
38	0.2622523861
39	0.260377672
40	0.2588373586
41	0.2572718574
42	0.2558621851
43	0.2548627953
44	0.2532911307
45	0.2518028039
46	0.2509794101
47	0.2502319542
48	0.2493371185
49	0.2469012387
50	0.2458109894
51	0.2450674583
52	0.2442439239
53	0.2435057695
54	0.2429158566
55	0.2418556284
56	0.2407718703
57	0.2399231575
58	0.2393453093
59	0.2381900345
60	0.237589181
61	0.2367379111
62	0.2362182879
63	0.2356912462
64	0.2351408151
65	0.2347740328
66	0.2342719634
67	0.2339103048
68	0.2333466569
69	0.2326754388
70	0.2323535149
71	0.2319378089
72	0.2316023029
73	0.2311460192
74	0.23017
75	0.2289912515
76	0.2283157901
77	0.227889359
78	0.2271545204
79	0.2267250824
80	0.2262459902
81	0.2257780165
82	0.2254052112
83	0.2252214314
84	0.2249007064
85	0.2245379612
86	0.2234330713
87	0.2225139939
88	0.2222460893
89	0.2219956259
90	0.2215972957
91	0.2213430012
92	0.2208531744
93	0.2205329085
94	0.2202791761
95	0.2200980096
96	0.2198688374
97	0.2196237788
98	0.2193402782
99	0.2190901708
100	0.2186343461
101	0.2184528985
102	0.218088102
103	0.2179111413
104	0.2170327165
105	0.2165961503
106	0.2163900114
107	0.2162494976
108	0.216005844
109	0.2155171412
110	0.2151254803
111	0.2149875798
112	0.2148932076
113	0.2146638855
114	0.2144960763
115	0.2142926726
116	0.2141772435
117	0.2140008729
118	0.2138145358
119	0.213594384
120	0.2133421596
121	0.2125527772
122	0.2121462977
123	0.211963211
124	0.2115759618
125	0.2113850818
126	0.2112216938
127	0.2107496267
128	0.2106240345
129	0.2101911775
130	0.2100103295
131	0.2098165832
132	0.2097387437
133	0.2096051239
134	0.2094788946
135	0.2092657025
136	0.2090888354
137	0.2089848996
138	0.2088944709
139	0.2088304851
140	0.2085939317
141	0.2084227785
142	0.2083429064
143	0.2081668917
144	0.2077193849
145	0.2074326152
146	0.2072363866
147	0.2069567639
148	0.2067870344
149	0.2066827988
150	0.2065681659
151	0.2060234393
152	0.205903973
153	0.2058278196
154	0.2057103953
155	0.2055777122
156	0.2054959105
157	0.2053857924
158	0.2052548047
159	0.2050893185
160	0.2048885751
161	0.2046535953
162	0.2045811044
163	0.2044915468
164	0.2043962285
165	0.2042609602
166	0.2039469607
167	0.2038567381
168	0.2034588762
169	0.20324456
170	0.2031428909
171	0.2030669435
172	0.2029525541
173	0.2028296689
174	0.2026878249
175	0.2025233597
176	0.2023665754
177	0.202280212
178	0.2021970521
179	0.2021589379
180	0.202046375
181	0.2019257191
182	0.2018437488
183	0.2017556431
184	0.2016549576
185	0.201584162
186	0.201485837
187	0.2010440346
188	0.200887981
189	0.2008225059
190	0.2007309344
191	0.2006360096
192	0.2005786275
193	0.2004487545
194	0.2002427656
195	0.2001294534
196	0.2000663762
197	0.1999778677
198	0.1999222373
199	0.1997681975
200	0.199726271
201	0.199682265
202	0.1995726808
203	0.1992804783
204	0.1992101137
205	0.1989144453
206	0.1988393691
207	0.1987690326
208	0.198622299
209	0.1985342683
210	0.1984556326
211	0.1982097965
212	0.1980639248
213	0.197953994
214	0.1977393594
215	0.1975399928
216	0.1970845896
217	0.1969779467
218	0.1968904686
219	0.1965903885
220	0.1965068632
221	0.1963997894
222	0.1963412833
223	0.1962207117
224	0.1961318473
225	0.1960128025
226	0.1959572845
227	0.1956926584
228	0.1952639042
229	0.1950783258
230	0.1949676832
231	0.194824481
232	0.1947012586
233	0.1946378348
234	0.1944625602
235	0.1943437777
236	0.1941415729
237	0.1939966472
238	0.1935750588
239	0.1932760558
240	0.1927830443
241	0.1926805696
242	0.1923247748
243	0.1922682451
244	0.1920776836
245	0.1919281025
246	0.1917957566
247	0.1917343186
248	0.1916729931
249	0.1913467136
250	0.1911902758
251	0.1909829568
252	0.1908481661
253	0.1907405209
254	0.1905859941
255	0.1904820582
256	0.1903571684
257	0.1903001423
258	0.1901647897
259	0.1899021399
260	0.1898291713
261	0.1895585127
262	0.1895076407
263	0.1891073341
264	0.1889149272
265	0.18874916
266	0.1886742711
267	0.188573239
268	0.1884391696
269	0.1883539208
270	0.1882395033
271	0.1881208707
272	0.1879821365
273	0.187857303
274	0.1877876783
275	0.1876919292
276	0.1876458343
277	0.187564248
278	0.1875081024
279	0.187247785
280	0.1871613841
281	0.1871162541
282	0.1870368597
283	0.1869526507
284	0.1865199811
285	0.1863465423
286	0.1862948835
287	0.1861914347
288	0.1859994119
289	0.1858932748
290	0.1857983406
291	0.1856885035
292	0.185581514
293	0.1850567953
294	0.1849631069
295	0.1845499862
296	0.1845144292
297	0.184473252
298	0.1839776177
299	0.1839098477
300	0.183535834
301	0.1833986173
302	0.183245074
303	0.1831121193
304	0.1829515695
305	0.1828188583
306	0.1827420398
307	0.1825173731
308	0.182365647
