iter	Passed	Remaining
0	54	53992
1	61	30513
2	70	23386
3	80	19924
4	90	18042
5	98	16327
6	109	15595
7	119	14866
8	129	14302
9	137	13657
10	146	13176
11	154	12750
12	166	12609
13	175	12332
14	184	12146
15	195	12037
16	207	12002
17	218	11928
18	229	11838
19	236	11594
20	251	11734
21	259	11553
22	271	11520
23	280	11419
24	293	11454
25	315	11808
26	337	12147
27	357	12405
28	378	12689
29	394	12742
30	401	12557
31	410	12414
32	420	12312
33	431	12259
34	442	12199
35	451	12092
36	460	11975
37	468	11863
38	478	11790
39	486	11687
40	502	11752
41	512	11686
42	520	11579
43	528	11478
44	537	11408
45	546	11324
46	556	11274
47	566	11235
48	575	11162
49	591	11230
50	603	11226
51	610	11129
52	621	11112
53	631	11054
54	641	11027
55	651	10988
56	661	10951
57	671	10903
58	685	10930
59	699	10963
60	707	10888
61	717	10847
62	725	10786
63	736	10774
64	756	10885
65	777	11006
66	795	11079
67	814	11165
68	832	11234
69	841	11173
70	849	11120
71	859	11072
72	868	11029
73	879	11006
74	890	10982
75	902	10971
76	916	10986
77	925	10940
78	937	10934
79	946	10885
80	954	10827
81	967	10832
82	976	10788
83	988	10784
84	999	10762
85	1008	10720
86	1019	10698
87	1041	10794
88	1056	10812
89	1063	10758
90	1072	10712
91	1084	10700
92	1094	10672
93	1103	10635
94	1116	10632
95	1125	10599
96	1135	10574
97	1145	10542
98	1155	10513
99	1164	10479
100	1175	10460
101	1192	10498
102	1204	10490
103	1225	10561
104	1254	10696
105	1272	10730
106	1284	10716
107	1300	10743
108	1311	10720
109	1321	10688
110	1330	10652
111	1342	10646
112	1355	10636
113	1366	10623
114	1382	10639
115	1391	10607
116	1405	10607
117	1412	10559
118	1422	10533
119	1430	10490
120	1440	10465
121	1450	10439
122	1459	10409
123	1474	10417
124	1489	10428
125	1507	10454
126	1518	10435
127	1526	10398
128	1537	10378
129	1546	10347
130	1557	10330
131	1575	10357
132	1585	10332
133	1595	10308
134	1603	10271
135	1614	10259
136	1624	10235
137	1632	10199
138	1642	10174
139	1653	10157
140	1670	10175
141	1681	10158
142	1695	10162
143	1716	10204
144	1729	10199
145	1747	10222
146	1761	10219
147	1770	10191
148	1780	10171
149	1790	10144
150	1798	10113
151	1807	10085
152	1816	10058
153	1827	10042
154	1836	10010
155	1845	9985
156	1854	9955
157	1865	9939
158	1875	9918
159	1886	9904
160	1912	9968
161	1937	10022
162	1950	10016
163	1961	9998
164	1970	9971
165	1981	9957
166	1991	9932
167	2000	9906
168	2008	9876
169	2017	9851
170	2026	9822
171	2035	9798
172	2043	9770
173	2054	9754
174	2075	9784
175	2095	9811
176	2109	9810
177	2119	9789
178	2128	9763
179	2137	9739
180	2147	9718
181	2157	9698
182	2178	9726
183	2189	9709
184	2199	9688
185	2210	9674
186	2219	9650
187	2227	9620
188	2241	9617
189	2250	9593
190	2257	9561
191	2273	9565
192	2288	9567
193	2304	9574
194	2321	9582
195	2330	9558
196	2337	9529
197	2347	9508
198	2360	9502
199	2367	9471
200	2376	9445
201	2386	9429
202	2397	9414
203	2412	9411
204	2423	9396
205	2433	9378
206	2441	9351
207	2450	9329
208	2459	9306
209	2468	9287
210	2486	9296
211	2504	9309
212	2515	9292
213	2531	9296
214	2541	9279
215	2553	9268
216	2565	9256
217	2576	9241
218	2588	9231
219	2606	9242
220	2614	9217
221	2625	9201
222	2637	9190
223	2655	9198
224	2669	9195
225	2684	9192
226	2700	9197
227	2720	9210
228	2730	9193
229	2740	9173
230	2759	9187
231	2770	9170
232	2779	9148
233	2789	9130
234	2799	9112
235	2808	9092
236	2820	9080
237	2829	9059
238	2838	9038
239	2849	9022
240	2861	9012
241	2873	8999
242	2882	8979
243	2890	8955
244	2899	8934
245	2913	8930
246	2923	8911
247	2934	8899
248	2942	8876
249	2951	8855
250	2961	8837
251	2991	8878
252	3020	8919
253	3036	8917
254	3051	8916
255	3059	8890
256	3068	8871
257	3078	8853
258	3089	8838
259	3099	8820
260	3111	8810
261	3124	8800
262	3139	8798
263	3148	8776
264	3161	8769
265	3179	8774
266	3190	8757
267	3198	8736
268	3208	8720
269	3216	8695
270	3225	8676
271	3234	8656
272	3246	8646
273	3256	8629
274	3266	8611
275	3277	8596
276	3286	8579
277	3296	8562
278	3306	8545
279	3317	8531
280	3325	8509
281	3338	8500
282	3345	8476
283	3357	8463
284	3366	8446
285	3377	8432
286	3387	8415
287	3396	8397
288	3408	8384
289	3419	8370
290	3433	8365
291	3444	8352
292	3460	8349
293	3471	8335
294	3481	8319
295	3495	8313
296	3507	8302
297	3517	8286
298	3526	8266
299	3538	8255
300	3571	8294
301	3583	8282
302	3594	8268
303	3605	8253
304	3615	8239
305	3627	8228
306	3639	8215
307	3648	8196
308	3658	8181
309	3690	8215
310	3704	8206
311	3713	8189
312	3721	8168
313	3731	8152
314	3747	8149
315	3761	8142
316	3779	8142
317	3786	8120
318	3794	8100
319	3802	8081
320	3813	8066
321	3822	8047
322	3829	8027
323	3840	8012
324	3849	7996
325	3865	7991
326	3899	8026
327	3916	8024
328	3935	8026
329	3947	8013
330	3956	7997
331	3966	7979
332	3975	7962
333	3986	7949
334	3996	7932
335	4004	7914
336	4014	7897
337	4022	7879
338	4033	7865
339	4040	7843
340	4057	7841
341	4069	7828
342	4078	7812
343	4088	7795
344	4097	7778
345	4108	7765
346	4118	7749
347	4131	7740
348	4142	7727
349	4153	7713
350	4164	7700
351	4175	7687
352	4183	7668
353	4193	7651
354	4201	7633
355	4209	7614
356	4217	7596
357	4226	7579
358	4236	7563
359	4252	7559
360	4263	7546
361	4271	7529
362	4280	7511
363	4288	7493
364	4298	7478
365	4306	7460
366	4314	7441
367	4325	7428
368	4334	7412
369	4343	7396
370	4351	7378
371	4361	7362
372	4369	7345
373	4377	7327
374	4386	7311
375	4396	7296
376	4408	7285
377	4419	7272
378	4428	7256
379	4437	7240
380	4446	7224
381	4453	7205
382	4465	7193
383	4476	7181
384	4491	7174
385	4500	7158
386	4509	7143
387	4519	7128
388	4528	7112
389	4537	7097
390	4545	7079
391	4554	7064
392	4565	7051
393	4574	7035
394	4584	7022
395	4597	7012
396	4606	6996
397	4615	6980
398	4624	6965
399	4631	6947
400	4639	6931
401	4648	6915
402	4670	6918
403	4678	6902
404	4687	6885
405	4696	6870
406	4706	6857
407	4715	6842
408	4726	6830
409	4741	6823
410	4749	6806
411	4758	6790
412	4766	6775
413	4775	6759
414	4784	6743
415	4793	6729
416	4801	6712
